deal_id,level_rank,candidate_team,finish_order,candidate_score,candidate_win,candidate_utility,steps,search_decisions
159,T,1,2-3-1-0,-1,false,-1.0,127,
160,9,0,3-2-1-0,-2,false,-1.1,125,
160,9,1,3-0-2-1,1,true,1.0,124,
161,8,0,1-3-0-2,-3,false,-1.2,109,
161,8,1,1-3-0-2,3,true,1.2,101,
162,7,0,2-0-1-3,3,true,1.2,97,
162,7,1,3-1-0-2,3,true,1.2,114,
163,9,0,0-2-1-3,3,true,1.2,98,
163,9,1,0-2-1-3,-3,false,-1.2,126,
164,4,0,2-0-1-3,3,true,1.2,106,
164,4,1,3-1-0-2,3,true,1.2,86,
165,5,0,2-0-1-3,3,true,1.2,109,
165,5,1,0-2-1-3,-3,false,-1.2,90,
166,A,0,0-3-1-2,1,true,1.0,131,
166,A,1,1-3-0-2,3,true,1.2,94,
167,5,0,0-3-1-2,1,true,1.0,119,
167,5,1,0-3-1-2,-1,false,-1.0,97,
168,Q,0,0-2-1-3,3,true,1.2,78,
168,Q,1,1-0-2-3,1,true,1.0,145,
169,8,0,2-0-1-3,3,true,1.2,121,
169,8,1,1-3-0-2,3,true,1.2,105,
170,9,0,0-2-1-3,3,true,1.2,108,
170,9,1,3-2-0-1,1,true,1.0,117,
171,A,0,0-3-1-2,1,true,1.0,93,
171,A,1,1-3-0-2,3,true,1.2,98,
172,7,0,0-2-1-3,3,true,1.2,105,
172,7,1,1-0-3-2,2,true,1.1,102,
173,6,0,0-2-1-3,3,true,1.2,98,
173,6,1,3-0-2-1,1,true,1.0,102,
174,4,0,2-1-3-0,1,true,1.0,103,
174,4,1,3-2-1-0,2,true,1.1,150,
175,3,0,1-3-0-2,-3,false,-1.2,98,
175,3,1,1-3-0-2,3,true,1.2,121,
176,2,0,1-2-3-0,-2,false,-1.1,120,
176,2,1,2-1-3-0,-1,false,-1.0,106,
177,Q,0,1-3-0-2,-3,false,-1.2,90,
177,Q,1,3-1-0-2,3,true,1.2,121,
178,J,0,0-2-1-3,3,true,1.2,107,
178,J,1,1-2-3-0,2,true,1.1,128,
179,4,0,0-2-1-3,3,true,1.2,98,
179,4,1,2-1-3-0,-1,false,-1.0,115,
180,A,0,0-2-1-3,3,true,1.2,97,
180,A,1,1-2-0-3,1,true,1.0,127,
181,8,0,2-0-1-3,3,true,1.2,94,
181,8,1,2-3-1-0,-1,false,-1.0,123,
182,8,0,2-0-1-3,3,true,1.2,106,
182,8,1,3-1-0-2,3,true,1.2,117,
183,A,0,1-2-0-3,-1,false,-1.0,117,
183,A,1,3-0-2-1,1,true,1.0,117,
184,5,0,0-3-1-2,1,true,1.0,129,
184,5,1,3-2-0-1,1,true,1.0,114,
185,6,0,2-1-3-0,1,true,1.0,113,
185,6,1,1-2-3-0,2,true,1.1,112,
186,3,0,3-2-0-1,-1,false,-1.0,109,
186,3,1,1-3-0-2,3,true,1.2,95,
187,2,0,2-0-1-3,3,true,1.2,100,
187,2,1,2-0-1-3,-3,false,-1.2,95,
188,3,0,2-0-1-3,3,true,1.2,108,
188,3,1,3-2-1-0,2,true,1.1,132,
189,6,0,2-0-1-3,3,true,1.2,86,
189,6,1,1-0-2-3,1,true,1.0,116,
190,A,0,0-2-1-3,3,true,1.2,116,
190,A,1,3-1-0-2,3,true,1.2,103,
191,2,0,0-2-1-3,3,true,1.2,116,
191,2,1,0-1-2-3,-2,false,-1.1,112,
192,K,0,0-1-2-3,2,true,1.1,103,
192,K,1,3-1-0-2,3,true,1.2,98,
193,8,0,2-0-1-3,3,true,1.2,106,
193,8,1,1-2-0-3,1,true,1.0,117,
194,9,0,0-2-1-3,3,true,1.2,93,
194,9,1,3-1-0-2,3,true,1.2,126,
195,8,0,0-2-1-3,3,true,1.2,96,
195,8,1,1-3-0-2,3,true,1.2,100,
196,2,0,2-1-3-0,1,true,1.0,127,
196,2,1,3-1-0-2,3,true,1.2,95,
197,2,0,2-0-1-3,3,true,1.2,109,
197,2,1,1-2-3-0,2,true,1.1,112,
198,Q,0,2-3-1-0,1,true,1.0,92,
198,Q,1,3-2-1-0,2,true,1.1,110,
199,6,0,0-2-1-3,3,true,1.2,110,
199,6,1,3-1-0-2,3,true,1.2,119,
